08:27:16.586 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/getReplyInfo]}" onto public src.main.utweb.server.dto.ResultDto src.main.utweb.controller.SubjectContentController.getReplyInfo(java.lang.String) 
08:27:16.586 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/getSubjectInfo]}" onto public src.main.utweb.server.dto.ResultDto src.main.utweb.controller.SubjectContentController.getSubjectInfo(java.lang.String) 
08:27:16.586 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest) 
08:27:16.586 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) 
08:27:16.586 [restartedMain] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
08:27:16.586 [restartedMain] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
08:27:16.602 [restartedMain] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
08:27:17.180 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729 
08:27:17.258 [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup 
08:27:17.258 [restartedMain] INFO  o.s.s.a.ScheduledAnnotationBeanPostProcessor - No TaskScheduler/ScheduledExecutorService bean found for scheduled processing 
08:27:17.274 [restartedMain] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer - Tomcat started on port(s): 8080 (http) 
08:27:17.274 [restartedMain] INFO  src.main.utweb.UTApplication - Started UTApplication in 2.15 seconds (JVM running for 228694.526) 
08:30:31.794 [http-nio-8080-exec-9] INFO  o.a.c.c.C.[Tomcat-6].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet' 
08:30:31.794 [http-nio-8080-exec-9] INFO  o.s.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization started 
08:30:31.797 [http-nio-8080-exec-9] INFO  o.s.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization completed in 2 ms 
08:30:44.734 [http-nio-8080-exec-6] INFO  s.m.u.controller.ActivateController - 加载激活页面！ 
08:32:48.003 [http-nio-8080-exec-9] INFO  s.m.u.controller.ActivateController - 加载激活页面！ 
08:37:21.125 [pool-318-thread-1] INFO  src.main.utweb.service.MailService - html邮件已经发送。 
08:37:41.205 [http-nio-8080-exec-2] INFO  s.m.u.controller.ActivateController - 加载激活页面！ 
08:38:26.642 [http-nio-8080-exec-1] INFO  s.m.u.controller.ActivateController - 加载激活页面！ 
08:40:43.607 [http-nio-8080-exec-4] INFO  s.m.u.controller.ActivateController - 加载激活页面！ 
08:46:34.293 [http-nio-8080-exec-10] INFO  s.m.u.controller.ActivateController - 加载激活页面！ 
08:46:43.990 [http-nio-8080-exec-10] INFO  s.m.u.controller.ActivateController - 加载激活页面！ 
08:47:07.533 [http-nio-8080-exec-6] INFO  s.m.u.controller.ActivateController - 加载激活页面！ 
08:50:47.864 [http-nio-8080-exec-1] INFO  s.m.u.controller.RegisterController - 加载注册页面！ 
08:51:01.998 [http-nio-8080-exec-3] INFO  s.m.u.controller.RegisterController - 加载注册页面！ 
08:53:09.246 [http-nio-8080-exec-3] INFO  s.m.u.controller.ActivateController - 加载激活页面！ 
08:53:42.114 [http-nio-8080-exec-10] INFO  s.m.u.controller.ActivateController - 加载激活页面！ 
08:54:06.493 [http-nio-8080-exec-3] INFO  s.m.u.controller.ActivateController - 加载激活页面！ 
08:55:59.226 [http-nio-8080-exec-4] INFO  s.m.u.controller.ActivateController - 加载激活页面！ 
08:56:51.953 [http-nio-8080-exec-3] INFO  s.m.u.controller.ActivateController - 加载激活页面！ 
08:57:10.320 [http-nio-8080-exec-2] INFO  s.m.u.controller.ActivateController - 加载激活页面！ 
